CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP0313	Other articles of clothing and clothing accessories	Autres articles et accessoires d'habillement	Sonstige Bekleidungsartikel und -zubehör	Y	
CP03131	Other articles of clothing	Autres articles d'habillement	Sonstige Bekleidungsartikel	Y	
CP03132	Clothing accessories	Accessoires d'habillement	Sonstiges Bekleidungszubehör	Y	
CP0314	Cleaning, repair and hire of clothing	Nettoyage, réparation et location d'articles d'habillement	Trockenreinigung, Reparatur und Miete von Bekleidung	Y	
CP03141	Cleaning of clothing	Nettoyage d'articles d'habillement	Kleiderreinigung	Y	
CP03141A	Dry cleaning (1 service)	Nettoyage à sec (1 service)	Chemische Reinigung (1 Dienstleistung)	Y	
CP03142	Repair and hire of clothing	Réparation et location d'articles d'habillement	Reparatur und Vermietung von Bekleidung	Y	
CP032	Footwear	Chaussures	Schuhe	Y	
CP0321_0322	Shoes and other footwear; repair and hire of footwear	Chaussures et autres articles chaussants; réparation et location d'articles chaussants	Schuhe und anderes Schuhwerk; Reparatur und Vermietung von Schuhwerk	Y	
CP0321	Shoes and other footwear	Chaussures diverses	Schuhe und anderes Schuhwerk	Y	
CP03211	Footwear for men	Chaussures pour hommes	Herrenschuhe	Y	
CP03211A	Men's lace-up shoes (1 pair)	Chaussures à lacets homme (1 paire)	Herren-Schnürschuhe (1 Paar)	Y	
CP03211B	Men's street shoes (1 pair)	Chaussures de ville homme (1 paire)	Herren-Freizeitschuhe (1 Paar)	Y	
CP03212	Footwear for women	Chaussures pour femmes	Damenschuhe	Y	
CP03212A	Ladies' conventional court shoes (1 pair)	Escarpins classiques femme (1 paire)	Damen-Pumps (1 Paar)	Y	
CP03212B	Ladies' long boots (1 pair)	Bottes hautes femme (1 paire)	Damen-Hochstiefel (1 Paar)	Y	
CP03213	Footwear for infants and children	Chaussures pour nourrissons et enfants	Schuhwerk für Kleinkinder und Kinder	Y	
CP03213A	Children's sport shoes (1 pair)	Chaussures de sport enfant (1 paire)	Kinder-Sportschuhe (1 Paar)	Y	
CP0322	Repair and hire of footwear	Cordonnerie et location de chaussures	Reparatur und Miete	Y	
CP03220	Repair and hire of footwear	Cordonnerie et location de chaussures	Reparatur und Vermietung von Schuhwerk	Y	
CP03220A	Services, Cobbler (1 service)	Services de cordonnerie (1 service)	Schusterdienstleistungen (1 Dienstleistung)	Y	
CP04_X_042	Housing, water, electricity, gas and other fuels except imputed rentals for housing	Logement, eau, électricité, gaz et autres combustibles sauf le loyer d'habitation imputés	Wohnung, Wasser, Elektrizität, Gas und andere Brennstoffe ohne Unterstellte Mieten für Wohnungen	Y	
CP04	Housing, water, electricity, gas and other fuels	Logement, eau, électricité, gaz et autres combustibles	Wohnung, Wasser, Elektrizität, Gas und andere Brennstoffe	Y	
CP041	Actual rentals for housing	Loyers d'habitation effectifs	Wohnungsmieten	Y	
CP0411_0412	Actual rentals paid by tenants; other actual rentals	Loyers effectivement payés par les locataires; autres loyers effectifs	Tatsächlich gezahlte Mietbeträge der Mieter; Sonstige tatsächliche Wohnungsmieten	Y	
CP0411	Actual rentals paid by tenants	Loyers effectivement payés par les locataires	Gezahlte Wohnungsmieten	Y	
CP04110	Actual rentals paid by tenants	Loyers effectivement payés par les locataires	Tatsächlich gezahlte Mietbeträge der Mieter	Y	
CP0412	Other actual rentals	Autres loyers effectifs	Sonstige gezahlte Wohnungsmieten	Y	
CP04121	Actual rentals paid by tenants for secondary residences	Loyers effectivement payés par les locataires pour des résidences secondaires	Tatsächlich gezahlte Mietbeträge der Mieter von Zweitwohnsitzen	Y	
CP04122	Garage rentals and other rentals paid by tenants	Location de garage et autres loyers payés par les locataires	Mieten für Garagen und sonstige gezahlte Mietbeträge der Mieter	Y	
CP042	Imputed rentals for housing	Loyer d'habitation imputés	Unterstellte Mieten für Wohnungen	Y	
CP0421	Imputed rentals of owner-occupiers	Loyer imputés des propriétaires-occupants	Unterstellte Mieten der Eigentümer	Y	
CP04210	Imputed rentals of owner-occupiers	Loyer imputés des propriétaires-occupants	Kalkulatorische Mieten der Eigentümer	Y	
CP0422	Other imputed rentals	Autres loyers imputés	Sonstige kalkulatorische Mieten	Y	
CP04220	Other imputed rentals	Autres loyers imputés	Sonstige kalkulatorische Mieten	Y	
CP043	Maintenance and repair of the dwelling	Entretien et réparation du logement	Reguläre Instandhaltung und Reparatur der Wohnung	Y	
CP0431	Materials for the maintenance and repair of the dwelling	Fournitures pour travaux d'entretien et de réparation des logements	Erzeugnisse für die reguläre Instandhaltung und Reparatur der Wohnung	Y	
CP04310	Materials for the maintenance and repair of the dwelling	Fournitures pour travaux d'entretien et de réparation des logements	Erzeugnisse für die reguläre Instandhaltung und Reparatur der Wohnung	Y	
CP04310A	Paint, indoor use (10 l)	Peinture à usage intérieur (10 l)	Wandfarbe, Innenbereich (10 l)	Y	
CP04310B	Silicone (300 ml)	Silicone (300 ml)	Silikon (300 ml)	Y	
CP04310C	Cement (25 kg)	Ciment (25 kg)	Zement (25 kg)	Y	
CP0432	Services for the maintenance and repair of the dwelling	Services concernant l'entretien et les réparations du logement	Dienstleistungen für die reguläre Instandhaltung und Reparatur der Wohnung	Y	
CP04321	Services of plumbers	Services de plombiers	Dienstleistungen von Klempnern	Y	
CP04322	Services of electricians	Szervices d'électriciens	Dienstleistungen von Elektriker	Y	
CP04323	Maintenance services for heating systems	Services d'entretien pour les systèmes de chauffage	Dienstleistungen zur Instandhaltung der Heizsysteme	Y	
CP04324	Services of painters	Services de peintres	Dienstleistungen von Maler	Y	
CP04325	Services of carpenters	Services de menuisiers	Dienstleistungen von Zimmerer	Y	
CP04329	Other services for maintenance and repair of the dwelling	Autres services concernant l'entretien et les réparations du logement	Sonstige Dienstleistungen für die reguläre Instandhaltung und Reparatur der Wohnung	Y	
CP044_X_0444	Water supply and miscellaneous services except other services relating to the dwelling n.e.c. (water and sanitation)	Alimentation en eau et services divers sauf les services divers liés au logement n.c.a. (eau et assainissement)	Wasserversorgung und sonstige Dienstleistungen ohne sonstige Dienstleistungen im Zusammenhang mit der Wohnung, a.n.g. (Wasser und sanitäre Einrichtungen)	Y	
CP044	Water supply and miscellaneous services relating to the dwelling	Alimentation en eau et services divers liés au logement	Wasserversorgung und sonstige Dienstleistungen im Zusammenhang mit der Wohnung	Y	
CP0441	Water supply	Alimentation en eau	Wasserversorgung	Y	
CP04410	Water supply	Alimentation en eau	Wasserversorgung	Y	
CP0442	Refuse collection	Collecte des ordures ménagères	Müllabfuhr	Y	
CP04420	Refuse collection	Collecte des ordures ménagères	Müllabfuhr	Y	
CP0443	Sewerage collection	Collecte des eaux usées	Abwasserbeseitigung	Y	
CP04430	Sewerage collection	Collecte des eaux usées	Abwasserbeseitigung	Y	
CP0444	Other services relating to the dwelling n.e.c.	Services divers liés au logement n.c.a.	Sonstige Dienstleistungen im Zusammenhang mit der Wohnung, a.n.g.	Y	
CP04441	Maintenance charges in multi-occupied buildings	Charges d'entretien dans les immeubles collectifs	Nebenkosten in mehrfach-genutzten Gebäuden	Y	
CP04442	Security services	Serivices de sécurité	Sicherheitsdienste	Y	
CP04449	Other services related to dwelling	Autres services liés au logement	Sonstige Dienstleistungen im Zusammenhang mit der Wohnung	Y	
CP045	Electricity, gas and other fuels	Electricité, gaz et autres combustibles	Elektrizität, Gas und andere Brennstoffe	Y	
CP0451	Electricity	Electricité	Elektrizität	Y	
CP04510	Electricity	Electricité	Elektrizität	Y	
CP0452	Gas	Gaz	Gas	Y	
CP04521	Natural gas and town gas	Gaz naturel et gaz de ville	Erdgas und Stadtgas	Y	
